
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              New
interfacetopbar_tension_suppressedprisoners     = *X prisoners are suppressed (compliant)
interfacetopbar_tension_activeriotguards        + *X riot police are on site
interfacetopbar_tension_recentdeaths            + *X people have been killed recently
interfacetopbar_tension_recentsearches          + *X prisoners have been unnecessarily searched recently
interfacetopbar_tension_recentpunishments       = (DETERRENT) *X punishments have been handed down recently

interface_foundationsinprogress                 Foundations in progress
riot_underway                                   RIOT UNDERWAY
riot_status_prisoners                           *X prisoners are rioting
shakedown_underway                              SHAKEDOWN UNDERWAY
shakedown_found                                 Found:

gameover_caption                              Press ESC to continue


# =============================================================================
# Hardware Compatibility
# =============================================================================

hardware_compat_title					Hardware Compatibility Test
hardware_compat_message					With your permission, we would like to collect the following hardware data from your computer.\n\nThis information is completely anonymous and will help us to ensure Prison Architect is supported on the widest possible range of computer hardware.\n\nThank you!
hardware_compat_accept					Accept
hardware_compat_decline					Decline


# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_title                      Build
buildtoolbar_reports                    Reports
buildtoolbar_bangup                     Bangup
buildtoolbar_lockdown                   Lockdown
buildtoolbar_shakedown                  Shakedown

buildtoolbar_tooltip_reports			Open up the reports window to see information on your prisoners, staff, income, grants, and more.
buildtoolbar_tooltip_bangup				Send all (willing) prisoners back to their cells. This will make your prisoners very angry if you leave them locked up for too long.
buildtoolbar_tooltip_lockdown			Instantly lock all doors in the prison.
buildtoolbar_tooltip_shakedown          Order an immediate search of all Cells. This will take some time and will annoy the hell out of your inmates.

buildtoolbar_cost						Cost: $*C
buildtoolbar_cost_sqrft					Cost: $*C /sq
buildtoolbar_wages						Wages : $*W per day
buildtoolbar_outdoor					Outdoor only
buildtoolbar_indoor						Indoor only
buildtoolbar_walk_speed					Walk Speed : *S
buildtoolbar_walk_speed_slow			Slow
buildtoolbar_walk_speed_norm			Normal
buildtoolbar_walk_speed_fast			Fast
buildtoolbar_locked						LOCKED (You require *B)
buildtoolbar_room						Room

buildtoolbar_popup_foundations			Construct/Demolish buildings in order to shape your prison.
buildtoolbar_popup_construction			Different types of floors and walls.
buildtoolbar_popup_planning				Plan out your prison without the fear of workers actually doing anything.
buildtoolbar_popup_designation			Designate areas of your prison with a specific function.
buildtoolbar_popup_objects				Place useful items around your prison.
buildtoolbar_popup_overlays				Visually identify weaknesses in your prison's layout.
buildtoolbar_popup_utilities			Plumbing and electrical systems.
buildtoolbar_popup_staff				Employ the necessary people to keep your prison running.
buildtoolbar_popup_deployment			Assign staff to areas of your prison.
buildtoolbar_popup_research				Unlock new possibilities for your prison.
buildtoolbar_popup_emergencies			Call in the emergency services if things take a turn for the worse.
buildtoolbar_popup_spawn				Spawn? The fuck does this do?
buildtoolbar_popup_clone				Laziness is the mother of all invention.
buildtoolbar_popup_properties			Find out about shit.
buildtoolbar_popup_contraband           Show the sources of Contraband, and all recently recovered contraband in your prison

buildtoolbar_popup_room_cell			Where your prisoners live.
buildtoolbar_popup_room_holdingcell		A place that new recruits are put while a cell is found for them.
buildtoolbar_popup_room_solitary		An isolated form of imprisonment for the worst of the worst.
buildtoolbar_popup_room_canteen			Where your prisoners will take their afternoon tea.
buildtoolbar_popup_room_kitchen			Area for cooks to prepare food for your prisoners.
buildtoolbar_popup_room_shower			Used to keep your prisoners squeaky clean, and lice free.
buildtoolbar_popup_room_yard			Let your prisoners see the sun for a few hours a day under the watchful eye of your sniper towers.
buildtoolbar_popup_room_storage			Area designated to hold any materials your prison staff need.
buildtoolbar_popup_room_deliveries		Where your goods, materials, and prisoners are dropped off.
buildtoolbar_popup_room_garbage			Where your waste is collected from.
buildtoolbar_popup_room_execution		Where you send your prisoners to die.
buildtoolbar_popup_room_workshop		Where you send your prisoners to die of boredom while making you car license plates.
buildtoolbar_popup_room_security		Offices for your Officers.
buildtoolbar_popup_room_office			An area for your administrative staff to work.
buildtoolbar_popup_room_medicalward		Area for your medical staff to work.
buildtoolbar_popup_room_morgue			Where you send your dead prisoners and staff to.
buildtoolbar_popup_room_commonroom		Allowing your prisoners some free time to relax.
buildtoolbar_popup_room_kennel          Where your dogs live.

buildtoolbar_popup_obj_bed				Not too soft, not too hard, just right. Well, actually, really hard and too small.
buildtoolbar_popup_obj_toilet			A basic human right, if you believe all those crackpots.
buildtoolbar_popup_obj_table			Goes excellently with a chair.
buildtoolbar_popup_obj_chair			Goes brilliantly with a table.
buildtoolbar_popup_obj_bench			For sitting on.
buildtoolbar_popup_obj_electricchair	Some like to dance around it, others lay presents under it, all love it.
buildtoolbar_popup_obj_jaildoor			Keep your prisoners where they should be.
buildtoolbar_popup_obj_jaildoorlarge	Keep lots of your prisoners where they should be.
buildtoolbar_popup_obj_door				A simple door.
buildtoolbar_popup_obj_solitarydoor		A heavyset jail door to stop even the hardest of prisoners from escaping.
buildtoolbar_popup_obj_staffdoor		A stylish door for your non-criminal prison occupants.
buildtoolbar_popup_obj_window			To glimpse the sun through.
buildtoolbar_popup_obj_windowlarge		To glimpse lots of the sun through.
buildtoolbar_popup_obj_tree				Taking steps against global warming is all of our responsibility.
buildtoolbar_popup_obj_light			Ensure you can see your prisoners at all times of the day.
buildtoolbar_popup_obj_cooker			Give your prisoners the life of luxury with hot food.
buildtoolbar_popup_obj_fridge			Keep your food supplies from rotting.
buildtoolbar_popup_obj_bin				Tidiness is important when it comes to contraband.
buildtoolbar_popup_obj_sink				All employees are required to wash their hands.
buildtoolbar_popup_obj_servingtable		Dish up food to your prisoners.
buildtoolbar_popup_obj_showerhead		The head of a shower. For showering.
buildtoolbar_popup_obj_bookshelf		A shelf that holds books. 
buildtoolbar_popup_obj_officedesk		Your staff need to write things down a lot. Give them a shiny office desk to do it on.
buildtoolbar_popup_obj_filingcabinet	Your staff need to keep the things they write ordered nicely.
buildtoolbar_popup_obj_medicalbed		A place to hold the narcotics until your prisoners steal them.
buildtoolbar_popup_obj_morgueslab		Ensure the dead have a respectful place to rest before moving.
buildtoolbar_popup_obj_drain			Remove water from the floor.
buildtoolbar_popup_obj_sprinkler		Automatically sprays the area with water in the event of a fire.
buildtoolbar_popup_obj_metaldetector	Find contraband on your prisoners that pass through these. Will require a guard to be nearby to take the contraband.
buildtoolbar_popup_obj_weightsbench		Allow your prisoners to exercise, which keeps them happy.
buildtoolbar_popup_obj_phonebooth		Prisoners might want to talk to their family, and these handy phonebooths let them.
buildtoolbar_popup_obj_tv				Pacify your prisoners with mindnumbing mediocrity.
buildtoolbar_popup_obj_largetv			Allow lots of your prisoners to share the experience of brain rot.
buildtoolbar_popup_obj_pooltable		Remove the monotony of prison life with a game of pool. 
buildtoolbar_popup_obj_cctv				Keep a eye on your prison without the need for guards to be everywhere at once. Need to be linked to a Cctv Monitor.
buildtoolbar_popup_obj_cctvmonitor		Allows up to 6 Cctv cameras to be used when a guard is within range of this monitor.
buildtoolbar_popup_obj_dismantleobject	Remove object from your prison.

buildtoolbar_popup_staff_workman		Will build your prison for you, based on the plans you provide them.
buildtoolbar_popup_staff_guard			Used to keep your prisoners in check and out of trouble.
buildtoolbar_popup_staff_doctor			Automatically heals all nearby injured people, whether they are guards or prisoners.
buildtoolbar_popup_staff_cook			Feeds your prisoners with the meals they prepare.
buildtoolbar_popup_staff_gardener		Keeps your prison grounds nice and tidy.
buildtoolbar_popup_staff_janitor		Keeps the inside of your prison nice and tidy.
buildtoolbar_popup_staff_warden			The grand overseer of your prison. Required before you can research and hire advanced staff members.
buildtoolbar_popup_staff_chief			An advanced staff member that gives access to the deployment, CCTV, and riot guards research items.
buildtoolbar_popup_staff_foreman		An advanced staff member that allows you to gain access to Janitors and Gardeners.
buildtoolbar_popup_staff_psychologist	An advanced staff member that allows you to gain an insight in to the minds of your prisoners. 
buildtoolbar_popup_staff_accountant		An advanced staff member that gives access to grants.
buildtoolbar_popup_staff_lawyer			An advanced staff member that helps you remove Penalty Points.

buildtoolbar_popup_uts_powerstation		Generates electricity to be used in your prison.
buildtoolbar_popup_uts_capacitor		Expands a power station that the capacitor is placed next to.
buildtoolbar_popup_uts_electricalcable	Distributes electricity around your prison.
buildtoolbar_popup_uts_powerswitch		Toggles the availability of electricity to any cable connected to it.
buildtoolbar_popup_uts_waterpumpstation	Provides a source of water to your prison.
buildtoolbar_popup_uts_pipevalve		Toggles the availability of water to any pipe connected to it.
buildtoolbar_popup_uts_pipelarge		Distributes a large amount of water around your prison. Probably big enough for someone to crawl to freedom through five hundred yards of shit smelling foulness.
buildtoolbar_popup_uts_pipesmall		Distributes water around your prison.
buildtoolbar_popup_uts_dismantleutility	Remove a utility object from your prison.

buildtoolbar_contraband_source          Shows all the locations around your prison that contraband could be stolen from
buildtoolbar_contraband_day             Shows all contraband confiscated in the last 24 hours
buildtoolbar_contraband_week            Shows all contraband confiscated in the last 7 days
buildtoolbar_contraband_alltime         Shows all contraband confiscated in the history of your jail


job_matsassigned                        Materials Assigned
job_matsavailable                       Materials Available
job_awaitingmaterials                   Awaiting Materials
job_inprogress                          Job In Progress
job_blocked                             Job (Blocked)
job_queued                              Job (Queued)

job_failed_noroute                      No Route
job_failed_nomaterials                  No Materials
job_failed_toodangerous                 Too Dangerous
job_failed_materialsbeingcarried        Materials On Route

job_rightclicktocancel                  Right Click to cancel

failuremessage_blocked                  Blocked
failuremessage_cantafford               Insufficient Funds
failuremessage_cantaffordupkeep         Exceeds Daily Budget
failuremessage_oneadministratormax      Already Hired
failuremessage_maxstaff                 Too Many Staff


# =============================================================================
# Status Toolbar
# =============================================================================

statustoolbar_deliveries                Deliveries
statustoolbar_finances                  Finances
statustoolbar_regime                    Regime
statustoolbar_escapemap                 Security
statustoolbar_electricity               Electricity
statustoolbar_stats                     Stats
statustoolbar_danger                    Danger
statustoolbar_jobs                      Jobs
statustoolbar_gangs                     Gangs
statustoolbar_staff                     Staff
statustoolbar_research                  Research


# =============================================================================
# Sprite Bank Editor + other tools
# =============================================================================

spritebankeditor_title                  Sprite Bank Editor
spritebankeditor_create                 Create
spritebankeditor_rotate                 Rotation
spritebankeditor_sort                   Sort
spritebankeditor_markermodetitle        Marker Mode


# =============================================================================
# Codex
# =============================================================================

codex_mainmenu                          Main Menu
codex_campaign                          Campaign
codex_cutscenes                         Cutscenes
codex_qualifications                    Qualifications
codex_load                              Load Prison
codex_save                              Save Prison
codex_performance						Performance Test
codex_developer_load                    (Developer) Load Map
codex_developer_save                    (Developer) Save Map
codex_contacts                          Contacts
codex_materials                         Materials
codex_play                              Play
codex_polaroids                         Polaroids
codex_introduction                      Introduction
codex_restartintroduction               Restart Introduction
codex_help                              Help (wiki)
codex_opensavefolder                    Open Save Folder
codex_options							Options
codex_nitgs								Names in the Game
codex_workshop							Steam Workshop
codex_checkforupdates                   Check for updates
codex_preorder                          Pre-order Now
codex_termsconditions                   Terms and Conditions
codex_twitter                           Twitter
codex_extras                            Extras

codex_new                               Create New Prison
codex_new_worldsize                     World Size
codex_new_small                         Small
codex_new_medium                        Medium
codex_new_large                         Large

codex_options_graphics					Graphics
codex_options_resolution				Resolution
codex_options_resolutionauto			Auto
codex_options_windowed					Windowed
codex_options_filtering					Filtering
codex_options_nofiltering				Off
codex_options_multisampled				Multisampled
codex_options_supersampled				Supersampled

codex_options_audio						Audio
codex_options_volume					Master Volume
codex_options_frequency					Mix Frequency
codex_options_swapstero					Swap Stereo
codex_options_dspenabled				Enable DSP
codex_options_11khz						11025 Hz
codex_options_22khz						22050 Hz
codex_options_44khz						44100 Hz

codex_options_gameplay					Game
codex_options_autosave					Autosave Timer
codex_options_renderrooms				Room Checkerbox
codex_options_apply						Apply

codex_enabled                           Enabled
codex_disabled                          Disabled

codex_option_intake                     Continuous intake
codex_tooltip_intake                    If enabled you will receive a random number of new prisoners every day, forever. If disabled you can chose when you are ready to receive prisoners.
codex_option_fogofwar                   Fog Of War
codex_tooltip_fogofwar                  You will lose visibility of the insides of your prison buildings, unless you have Guards patrolling the area or CCTV cameras covering the area.
codex_option_lakes                      Generate Lakes
codex_tooltip_lakes                     Random lakes will be generated in your plot of land

codex_option_funds                      Funds
codex_tooltip_funds                     You will start with this much money in your bank account.\n\nNb. Sell your established prisons from the Valuation screen to start with more funds.

codex_transfer							Transfer
codex_transferring						Transferring
codex_in_prison							Currently incarcerated

codex_workshop_current					Current Prison
codex_workshop_publish					Publish this prison
codex_workshop_update					Update
codex_workshop_play						Play
codex_workshop_downloading				Downloading
codex_workshop_download_failed			Download failed
codex_workshop_publishing				Publishing...
codex_workshop_new						NEW
codex_workshop_title					Title
codex_workshop_desc						Description
codex_workshop_view_in_workshop			View in Steam Workshop
codex_workshop_heading_pubed			Your published prisons
codex_workshop_heading_subed			Subscribed prisons
codex_workshop_published_by				Published by *P
codex_workshop_published_by_you			Published by you
codex_workshop_published_good			Prison Published
codex_workshop_published_good_msg		Your prison has been published successfully.
codex_workshop_published_bad			Fail To Publish Prison
codex_workshop_published_bad_msg		Your prison failed to publish.
codex_workshop_published_bad_msg_new	Your new prison has failed to publish. Please try again.
codex_workshop_busy						Some magic is already happening with Steam. Please wait for that to finish first.
codex_workshop_file_exists				You've already published a prison with this name. Please pick a different name.
codex_workshop_generic_fail				Failed to publish your prison. Please try again.
codex_workshop_download_bad				Failed To Download Prison
codex_workshop_pa_workshop				Open Prison Architect Workshop
codex_workshop_agreement				By submitting this item, you agree to the [url=http://steamcommunity.com/sharedfiles/workshoplegalagreement]workshop terms of service[/url].

codex_options_timelapse					Time Lapse
codex_timelapse_record					Record Time Lapse
codex_timelapse_stop					Stop Time Lapse
codex_timelapse_camera					Camera Mode
codex_timelapse_resolution				Resolution
codex_timelapse_customresw				Custom Res Width
codex_timelapse_customresh				Custom Res Height
codex_timelapse_resolution				Resolution
codex_timelapse_fps						Playback Rate
codex_timelapse_interval				Capture Interval
codex_timelapse_quality					Quality
codex_timelapse_unsupported				This feature is unavailable on your hardware.
codex_timelapse_savesettings			Save Settings

codex_performance_running				Performance Test Running
codex_performance_time					Time Left: *Ts
codex_performance_current				Current Frame Time: *Tms
codex_performance_min					Min Frame Time: *Tms
codex_performance_avg					Average Frame Time: *Tms
codex_performance_max					Max Frame Time: *Tms

codex_last_modified						Last Modified: *T
codex_sortbydesc						Sort By Date
codex_sortname							Name
codex_sortdate							Date
codex_apply								Apply

codex_mods								Mods
codex_mod_activetitle					Active Mods
codex_mod_inactivetitle					Available Mods
codex_mod_deactivate					Deactivate Mods
codex_mod_wiki							Download more mods (Wiki)
codex_mod_openmodsfolder				Open Mods Folder
codex_authortitle                       Author
codex_versiontitle                      Version
codex_datetitle                         Date
codex_urltitle                          Url
codex_typetitle							Type
codex_mod_presentation					Presentation
codex_mod_translation					Translation
codex_mod_scenario						Scenario
codex_mod_content						Content
codex_mod_load_scenario					Play Scenario


# =============================================================================
# Graphics Change Confirmation
# =============================================================================

graphicschange_message					Do you wish to keep these graphics options? These changes will revert in
graphicschange_time						seconds.
graphicschange_accept					Accept
graphicschange_revert					Revert

# =============================================================================
# Biography
# =============================================================================

biography_search                        Stop and Search
biography_selected                      SELECTED


# =============================================================================
# Rap Sheet
# =============================================================================

rapsheet_age							Age:
rapsheet_category						Category:
rapsheet_traits							Known Traits:
rapsheet_conviction_text				*C - *Y years
rapsheet_found_text						(Plea: *P)
rapsheet_convictions					Convictions
rapsheet_misconductstitle				Recent Misconduct
rapsheet_biography                      Biography
rapsheet_guilty							Guilty
rapsheet_notguilty						Not guilty
rapsheet_served							Served
rapsheet_served_time					Served *Y years
rapsheet_time							*Y years
rapsheet_bio							Sentenced to *Y years for *A.
rapsheet_bio_med						Sentenced to *Y years for multiple crimes including *A, and *B.
rapsheet_bio_long						Sentenced to *Y years for multiple crimes including *A, *B, and *C.

rapsheet_category_minsec				Minimum Security
rapsheet_category_normal				Normal Security
rapsheet_category_maxsec				Maximum Security

# =============================================================================
# Misconducts
# =============================================================================

misconduct_reporttype_none                  None
misconduct_reporttype_complaint             Complaint
misconduct_reporttype_destruction           Destruction
misconduct_reporttype_escapeattempt         Escape Attempt
misconduct_reporttype_injuredprisoner       Attacked Prisoner
misconduct_reporttype_injuredstaff          Attacked Staff
misconduct_reporttype_seriousinjury         Serious Injury
misconduct_reporttype_murder                Murder
misconduct_reporttype_contrabandweapons     Found Weapons
misconduct_reporttype_contrabandtools       Found Tools
misconduct_reporttype_contrabandnarcotics   Found Drugs
misconduct_reporttype_contrabandluxuries    Found Luxuries


# =============================================================================
# Research Names + Captions
# =============================================================================

research_required                       You need a *X to prepare this report.
research_requireunlock                  You need to research '*X' to unlock this report

researchtooltip_warden                  Unlocks the Warden, and the entire Bureaucracy system.  Hire him from the Staff toolbar.  Like all Administrators, he requires an office to work.  
researchtooltip_security                Unlocks the Chief of Security, who can be hired from the staff toolbar.  The chief gives you access to the Deployment screen, and will also give you a realtime report of the danger level of your prison, often predicting future trouble.
researchtooltip_maintainance            Unlocks the Foreman.  Hire him from the Staff toolbar.
researchtooltip_legal                   (CURRENTLY SERVES NO PURPOSE)\nUnlocks the Lawyer.\nLawyers can reduce the overall number of Penalty Points you have been awarded, and you can hire as many of them as you need.\n\nEach Lawyer requires his own office.
researchtooltip_deployment              Allows you to permanently station Guards to the sectors of your Prison.
researchtooltip_patrols                 Allows you to define patrols around crucial areas of your prison (eg the perimeter), and assign guards to walk those patrols.
researchtooltip_cctv                    Unlocks CCtv cameras and security monitors.  Use these to keep watch on unmanned parts of your jail.  Also unlocks the Security Room which serves absolutely no purpose right now.  It's an Alpha.  
researchtooltip_riotguards              (CURRENTLY SERVES NO PURPOSE)\nUnlocks the Riot Guard.  These guys are armoured and better able to deal with violent situations.
researchtooltip_clone                   Unlocks the clone tool on the main toolbar.  Use this tool to rapidly duplicate areas of your prison, such as Cells.  To use, select a zone to be copied with a right mouse drag, then left click to stamp down a copy.
researchtooltip_groundskeeping          Unlocks the Gardener.  He will keep your outdoor areas tidy.
researchtooltip_cleaning                Unlocks the Janitor.  He will clean all the indoor areas of your prison.
researchtooltip_health                  Unlocks the Doctor, along with the Infirmary and the Morgue.  Injured prisoners and staff will be taken to the Infirmary and Doctors will patch them up.
researchtooltip_MentalHealth            Unlocks the Psychologist, providing you with a valuable insight into your Prisoner's internal psychological state at all times.
researchtooltip_finance                 Unlocks the Accountant, which gives access to the financial report for your Prison.\n\nAlso allows you to spend more each day than your income would normally allow, assuming you have the funds in reserve. 
researchtooltip_landexpansion           Authorises you to purchase neighbouring plots of land, and thereby expand the size of your prison beyond its initial bounds.
researchtooltip_ReducePenalty1          (CURRENTLY SERVES NO PURPOSE)\nReduces the number of Penalty Points awarded by 50.
researchtooltip_ReducePenalty2          (CURRENTLY SERVES NO PURPOSE)\nReduces the number of Penalty Points awarded by 50.
researchtooltip_ReducePenalty3          (CURRENTLY SERVES NO PURPOSE)\nReduces the number of Penalty Points awarded by 50.
researchtooltip_ReducePenalty4          (CURRENTLY SERVES NO PURPOSE)\nReduces the number of Penalty Points awarded by 50.
researchtooltip_ReducePenalty5          (CURRENTLY SERVES NO PURPOSE)\n Reduces the number of Penalty Points awarded by 50.
researchtooltip_prisonlabour            Allows you to put your prisoners to work around your prison (Cooking, Cleaning etc), saving you on staff wages, earning you money, and teaching your prisoners new skills at the same time.\n\nAlso Unlocks the Workshop and the Laundry.
researchtooltip_contraband              Training for your Guards to become better at tracking and recovering contraband. Unlocks the Supply and Demand report, the Contraband overlay (showing all possible theft locations within your prison), and tracks all recovered contraband back to where it was smuggled or stolen.
researchtooltip_policy                  Unlocks the Policy Report, allowing you to increase and decrease the punishments for all types of misconduct, as well as automatically triggering searches of the misbehaving prisoner and his cell

# =============================================================================
# Room Requirements
# =============================================================================

roomrequirement_required                REQUIRED:
roomrequirement_recommended             Recommended: 
roomrequirement_minimumsize             Minimum Size *W x *H
roomrequirement_indoor                  Indoors
roomrequirement_solidground             Solid Ground
roomrequirement_secure                  Secure (behind at least one Door)
roomrequirement_enclosed                Enclosed (surrounded by walls and doors)
requirement_entrance                    Requires Entrance

# =============================================================================
# Unlocks
# =============================================================================

unlock_title                            UNLOCKED

unlock_special_electricity              Electrical Systems
unlock_special_food                     Food Preparation
unlock_special_officersafety            Officer Safety
unlock_special_misbehavior              Misbehavior
unlock_special_accounting               Accounting
unlock_special_gangs                    Gangs

unlock_electricity_caption              Allows the construction of power stations and electrical cables, providing electricity to all devices that require it.


# =============================================================================
# Advisers
# =============================================================================

