###INFO###
###INFO###			Ä --> \
###INFO###			Ö --> |
###INFO###			Ü --> @
###INFO###			ä --> ^
###INFO###			ö --> `
###INFO###			ü --> _
###INFO###			ß --> ;
###INFO###
###INFO###			\n --> Absatz
###INFO###

###INFO### ===============================================================================================================================================================================================================  ###INFO###
###INFO### 			Basic dialog strings																																													###INFO###
###INFO### ===============================================================================================================================================================================================================  ###INFO###

dialog_new															Neu
buildtoolbar_popup_obj_bin											Sauberkeit ist sehr wichtig, wenn es dadrum geht Schmuggel zu unterbinden.
buildtoolbar_popup_obj_sink											Alle K`che sind dazu angehalten sich einmal pro Woche ihre H^nde zu waschen.
buildtoolbar_popup_obj_servingtable									Hier tischen deine K`che den Gefangenen das Essen auf.
buildtoolbar_popup_obj_showerhead									Ein Duschkopf. Zum duschen.
buildtoolbar_popup_obj_bookshelf									Ein B_cherregal voller B_cher.
buildtoolbar_popup_obj_officedesk									Dein Personal muss immer wieder einiges niederschreiben. Gib ihnen einen Schreibtisch als Unterlage.
buildtoolbar_popup_obj_filingcabinet								Dein Personal muss ihre Notizen nat_rlich ordentlich einsortieren.
buildtoolbar_popup_obj_medicalbed									Ein super Platz wo deine Medikamente rumliegen k`nnen, bis deine Insassen sie bei einer Behandlung stehlen.
buildtoolbar_popup_obj_morgueslab									Stelle sicher, dass alle Toten eine respektvolle Verpackung bekommen, bevor sie abgeholt werden.
buildtoolbar_popup_obj_drain										Falls die Gefangenen ein bisschen zu viel mit der Badeente spielen, verhindern die Abfl_sse allzu gro;e @berschwemmungen.
buildtoolbar_popup_obj_sprinkler									Bespr_ht bei einem Brand automatisch ein Gebiet mit Wasser.
buildtoolbar_popup_obj_metaldetector								Finde mit dieser Anlage metallische Schmuggelware, die Gefangene bei sich tragen. Die n^chste freie Wache k_mmert sich dann um den @belt^ter.
buildtoolbar_popup_obj_weightsbench									Erlaube deinen Gefangenen zu trainieren. Das h^lt sie bei Laune... und fit f_r die Flucht.v
buildtoolbar_popup_obj_phonebooth									Manche Gefangenen m`chten vielleicht ab und zu mit ihrer Familie telefonieren.
buildtoolbar_popup_obj_tv											Beruhige deine Insassen mit todlangweiligen Sendungen aus der ganzen Welt.
buildtoolbar_popup_obj_largetv										Erlaube deinen Insassen ihre Gehirne vollst^ndig verrotten zu lassen. Hartz IV - TV im Gro;format.
buildtoolbar_popup_obj_pooltable									Vertreibe die Eint`nigkeit des Gef^ngnislebens mit einer Runde Billard. Zudem sind die Queues super Schlagwaffen.
buildtoolbar_popup_obj_cctv											Halte ein Auge auf deine Gefangenen, wenn deine Wachen nicht _berall gleichzeitig sein k`nnen. Ben`tigt einen Monitor, um zu funktionieren.
buildtoolbar_popup_obj_cctvmonitor									Erm`glicht die Nutzung von bis zu 6 Kameras pro Monitor, solange eine Wache vor den Bildschirmen h^ngt.
buildtoolbar_popup_obj_laundrymachine								Eine handels_bliche Waschmaschiene.
buildtoolbar_popup_obj_laundrybasket								Ein rollbarer W^schekorb f_r die Schmutzw^sche.
buildtoolbar_popup_obj_ironingboard									Die legend^ren @berreste des Silver Surfers werden hier nur noch genutzt, um Uniformen zu b_geln.
buildtoolbar_popup_obj_visitortable									Ein herrlicher Ort, um sich von seinen Besuchern Zigaretten, Alkohol oder Handys zuschieben zu lassen.
buildtoolbar_popup_obj_workshopsaw									Der Zuschnitt der blanken Nummernschilder, sowie der Holzst^mme erfolgt hier. Finger weg, sonst Finger ganz weg!
buildtoolbar_popup_obj_workshoppress								Mit dieser Presse werden die blanken Nummernschilder mit den passenden Ziffern und Zahlen versehen.
buildtoolbar_popup_obj_dogcrate										Hundeh_tten waren leider aus, aber die Hundeboxen sehen doch auch ganz gem_tlich aus.
buildtoolbar_popup_obj_sofachairsingle								Ein gem_tliches, kleines Sofa.
buildtoolbar_popup_obj_sofachairdouble								Ein Sofa, dass breit genug ist, um nicht nur drauf sitzen zu k`nnen.
buildtoolbar_popup_obj_drinkmachine									Bei einer kalten Cola l^sst es sich doch gleich viel besser entspannen.
buildtoolbar_popup_obj_dismantleobject								Entferne einen Gegenstand aus deinem Gef^ngnis.
buildtoolbar_popup_obj_roadgate										Ein Stra;entor, welches die Lieferwagen hindurch l^sst, aber die Gefangenen nicht.
buildtoolbar_popup_obj_sellobject									Verkaufe ein Objekt, um Kapital daraus zu schlagen.

buildtoolbar_popup_staff_workman									Diese Schneem^nner werden alles in deinem Gef^ngnis f_r dich bauen, wenn du sie damit beauftragst.
buildtoolbar_popup_staff_guard										Wachen werden gebraucht, um \rger in deinem Gef^ngnis zu unterbinden.
buildtoolbar_popup_staff_doctor										Behandelt und heilt automatisch verletzte Personen in der N^he. Egal ob Personal oder Gefangener.
buildtoolbar_popup_staff_cook										Kocht die Mahlzeiten f_r deine Gefangenen.
buildtoolbar_popup_staff_gardener									H^lt deine Rasenfl^chen blatt- und nadellos.
buildtoolbar_popup_staff_janitor									H^lt es in deinen R^umlichkeiten sauber.
buildtoolbar_popup_staff_warden										Der verwaltende Kopf hinter deinem Gef^ngnis. Ihn brauchst du, um weitere Sachen freizuschalten und fortschrittliches Personal anzuheuern.
buildtoolbar_popup_staff_chief										Der Chef der Wache. Erlaubt dir das erforschen von @berwachungskameras, Wachstationierung und Weiterem.
buildtoolbar_popup_staff_foreman									Der Vorarbeiter erlaubt dir Hausmeister, G^rtner und andere Sachen freizuschalten.
buildtoolbar_popup_staff_psychologist								Ein Psychologe, der dir erlaubt, die Bed_rfnisse und Gedanken der Gefangenen zu deuten.
buildtoolbar_popup_staff_accountant									Die Buchhalterin erlaubt dir eine Aufschl_sselung deiner Finanzen.
buildtoolbar_popup_staff_lawyer										[Dient aktuell keinem Nutzen] Ein Rechtsanwalt.
buildtoolbar_popup_staff_doghandler									Der treue Sch^ferhund eines Hundef_hrers kann zum erschn_ffeln von mancher illegalen Schmuggelware helfen. Zudem stoppt er fliehende Gefangene, oder kann Fluchttunnel erschn_ffeln.

buildtoolbar_popup_uts_powerstation									Generiert Elektrizit^t f_r dein Gef^ngnis.
buildtoolbar_popup_uts_capacitor									Erh`ht die Menge an Energie, die ein Generator produziert, wenn man diesen Kondensator daneben platziert.
buildtoolbar_popup_uts_electricalcable								Verteilt die Elektrizit^t in ihrem Gef^ngnis.
buildtoolbar_popup_uts_powerswitch									Schaltet die Stromzufuhr von verbunden Kabeln zu oder weg.
buildtoolbar_popup_uts_waterpumpstation								Stellt eine lokale Wasserversorgung durch ein Pumpwerk in ihrem Gef^ngnis bereit.
buildtoolbar_popup_uts_pipevalve									Schlie;e oder `ffne das Ventil, um die Wasserversorgung bereitzustellen oder zu unterbrechen.
buildtoolbar_popup_uts_pipelarge									Stellt eine gro;e Menge an Wasser in deinem Gef^ngnis bereit. Wahrscheinlich sind die Rohre gro; genug, um jemanden 500 Meter, in fauliger Enge, in die Freiheit krabbeln zu lassen.
buildtoolbar_popup_uts_pipesmall									Stellt eine kleinere Menge an Wasser bereit, als die gro;en Rohre.
buildtoolbar_popup_uts_dismantleutility								Entfernt Kabel oder Wasserrohre aus deinem Gef^ngnis.

buildtoolbar_contraband_source										Zeigt alle Orte, an denen Gefangene Gegenst^nde stehlen oder schmuggeln k`nnten.
buildtoolbar_contraband_day											Zeigt die beschlagnahmte Schmuggelware der letzten 24 Stunden
buildtoolbar_contraband_week										Zeigt die beschlagnahmte Schmuggelware der letzten 7 Tage
buildtoolbar_contraband_alltime										Zeigt die gesamte Schmuggelware an, die jemals in diesem Gef^ngnis beschlagnahmt wurde

job_matsassigned													Materialien zugewiesen
job_matsavailable													Materialien verf_gbar
job_awaitingmaterials												Erwarte Materialien
job_inprogress														Aufgabe in Bearbeitung
job_blocked															Aufgabe (Blockiert)
job_queued															Aufgabe (In Bearbeitung)

job_failed_noroute													Keine verf_gbare Route
job_failed_nomaterials												Keine Materialien
job_failed_toodangerous												Zu gef^hrlich
job_failed_materialsbeingcarried									Materials auf dem Weg

job_rightclicktocancel												Rechtsklick zum Abbrechen

failuremessage_blocked												Blockiert
failuremessage_cantafford											Nicht gen_gend Geld verf_gbar
failuremessage_cantaffordupkeep										@berschreitet dein t^gliches Einkommen
failuremessage_oneadministratormax									Bereits eingestellt
failuremessage_maxstaff												Zu viel Personal eingestellt

###INFO### ===============================================================================================================================================================================================================  ###INFO###
###INFO### 			Status Toolbar																																															###INFO###
###INFO### ===============================================================================================================================================================================================================  ###INFO###

statustoolbar_deliveries											Lieferungen
statustoolbar_finances												Finanzen
statustoolbar_regime												Verwaltung
statustoolbar_escapemap												Sicherheit
statustoolbar_electricity											Elektrizit^t
statustoolbar_stats													Statistiken
statustoolbar_danger												Gefahr
statustoolbar_jobs													Jobs
statustoolbar_gangs													Gangs
statustoolbar_staff													Personal
statustoolbar_research												Forschung

###INFO### ===============================================================================================================================================================================================================  ###INFO###
###INFO### 			Sprite Bank Editor + other tools																																										###INFO###
###INFO### ===============================================================================================================================================================================================================  ###INFO###

spritebankeditor_title												Sprite Bank Editor
spritebankeditor_create												Erstellen
spritebankeditor_rotate												Drehen
spritebankeditor_sort												Sortieren
spritebankeditor_markermodetitle									Marker Mode

###INFO### ===============================================================================================================================================================================================================  ###INFO###
###INFO### 			Codex																																																	###INFO###
###INFO### ===============================================================================================================================================================================================================  ###INFO###

codex_mainmenu														Hauptmen_
codex_campaign														Kampagne
codex_cutscenes														Zwischensequenzen
codex_qualifications												Qualifikationen
codex_load															Gef^ngnis laden
codex_save															Gef^ngnis speichern
codex_performance													Leistungstest
codex_developer_load												[DEV] Lade Karte
codex_developer_save												[DEV] Speichere Karte
codex_contacts														Vertr^ge
codex_materials														Materialien
codex_play															Spielen
codex_polaroids														Polaroids
codex_introduction													Einf_hrung
codex_restartintroduction											Einf_hrung erneut spielen
codex_help															Hilfe [WIKI]
codex_opensavefolder												|ffne Speicherort
codex_options														Optionen
codex_nitgs															Namen im Spiel
codex_workshop														Steam Workshop
codex_checkforupdates												Nach Updates suchen
codex_preorder														Jetzt vorbestellen
codex_termsconditions												Allgemeine Gesch^ftsbedingungen
